,marathi,rating,english
0,तो पळाला हसत हसत,1,He ran away laughing
1,मी पडलो मला लागलं,-1,I fell
2,मला माहित आहे,0,I know
3,मी हरलो,-1,I lost
4,मी काम करतोय,0,I am working
5,मी ठीक आहे,0,I&#39;m fine
6,आम्ही जिंकलो,1,We won
7,आपण सगळे जिंकलो,1,We all win
8,मला कॉल कर,0,Call me
9,मी तुला कॉल करतो,0,I call you
10,आम्हाला कॉल कर,0,Give us a call
11,तू जेवलास का?,0,Did you eat
12,एकदम छान घडी घातलिस,1,Full screened ambulance
13,बाहेर हो,0,Get out
14,दूर हो माझ्या नजरे समोरून,-1,Get out of my sight
15,मला मदत कर,0,Help me
16,माझी मदत करा,0,Help me
17,मला वाचवा,0,Save me
18,मला वाचव,0,Save me
19,मी हॅरी आहे,0,I&#39;m Harry
20,माझं नाव हॅरी आहे,0,My name is Harry
21,मी जाडा आहे,0,I&#39;m thick
22,जाडा असलो तरी खूश आहे,1,Happy despite being thick
23,मी आजारी आहे,-1,I&#39;m sick
24,मला ताप आला आहे खूप,-1,I&#39;ve got a fever
25,माझं पोट दुखतय,-1,My stomach hurts
26,ठीक आहे,0,Ok
27,सगळं ठीक होईल,1,Everything will be fine
28,झक्कास,1,Jest
29,एकदम झक्कास,1,Absolutely jittery
30,खूप मजा आली,1,It was a lot of fun
31,आम्हाला काळजी आहे,1,We care
32,आपण हरलो,-1,You lose
33,आम्ही हरलो,-1,We lost
34,"वेलकम, प्लीज आत या",0,"Welcome, please or"
35,हे कोणी खाल्लं?,0,Who ate this?
36,एकदम मस्त बनवलं होतं,1,It was made very cool
37,कोण पळाला?,0,Who escaped?
38,का नाही?,0,Why not
39,अजिबात नाही,-1,Not at all
40,मागे हो,0,Ask me
41,हट कुत्र्या,-1,Hot dogs
42,शांत रहा,0,Kept calm
43,तू थोडा गप राहशील का?,0,Will you be quiet
44,मजा करा,1,Have fun
45,आपण मजा करूया,1,Let&#39;s have fun
46,खूप मजा येत आहे मला,1,I&#39;m having a lot of fun
47,तुम्ही मजा करत आहात ना?,0,Are you kidding
48,मी विसरलो,0,I forgot
49,"सॉरी, मी विसरलो",0,"Sorry, I forgot"
50,मी पूजा करतो,1,I worship
51,मी ते वापरतो,0,That&#39;s what I use
52,मी प्रयत्न करीन,1,I will try
53,मी गरीब आहे,-1,I am poor
54,मी श्रीमंत आहे,1,I&#39;m rich
55,खूप गरमी आहे,-1,It&#39;s very hot
56,काय मस्त वातावरण आहे,1,What a cool atmosphere
57,"हॅरी ला किस कर, तो स्मार्ट आहे",1,"Kiss Harry, he&#39;s smart"
58,हे नवीन आहे,0,It&#39;s new
59,सोड मला,0,Leave me
60,ती मेली,-1,She died
61,तू पण मर जाऊन,-1,You too will die
62,"ए सांगतोस काय, एकदम सही यार",1,"What do you say, perfect man"
63,ते जिंकले,1,They won
64,ते हरले,-1,They lost
65,लॉस झालं यार,-1,Lost man
66,खूप प्रॉफिट झाला यार,1,Very profitable man
